Sr.No,DISTRICT,code,Headquarter,Admin division,Area,Population,%state population,Density,Urban %,Literacy,Sex Ration,Tehsil,PM2.5,01_01_2024_PM2.5
1,Ahmednagar,AH,Ahmednagar,Nashik,17048,4543159,0.0404,234.77,19.67,80.22,941,14,30,64.03
2,Akola,AK,Akola,Amravati,5428,1813906,0.0161,300.78,53.23,88.05,938,7,12,66.56
3,Amravati,AM,Amravati,Amravati,12235,2888445,0.0257,206.4,34.5,82.5,838,14,21,87.62
4,Aurangabad,AU,Aurangabad,Aurangabad,10100,3701282,0.0329,286.83,37.53,61.15,924,9,54,85.4
5,Beed,BI,Beed,Aurangabad,10693,1200334,0.0107,207.04,17.91,68,936,11,29,NA
6,Bhandara,BH,Bhandara,Nagpur,3717,2585049,0.023,305.58,15.44,68.28,982,7,27,NA
7,Buldhana,BU,Buldhana,Amravati,9661,2586258,0.023,230.63,21.2,75.8,946,13,35,NA
8,Chandrapur,CH,Chandrapur,Nagpur,11443,2204307,0.0196,193.65,32.11,73.03,948,15,55,92.88
9,Dhule,DH,Dhule,Nashik,7195,2050862,0.0183,211.83,26.11,71.6,944,4,20,73.99
10,Gadchiroli,GA,Gadchiroli,Nagpur,14412,1072942,0.0095,67.33,6.93,60.1,976,12,15,NA
11,Gondia,GO,Gondia,Nagpur,5234,1322507,0.0118,247.81,11.95,67.67,1005,8,20,NA
12,Hingoli,HI,Hingoli,Aurangabad,4526,1177345,0.0105,218.11,15.2,66.86,953,5,57,NA
13,Jalgaon,JG,Jalgaon,Nashik,11765,4229917,0.0376,312.79,71.4,76.06,932,15,27,41.15
14,Jalna,JN,Jalna,Aurangabad,7687,1959046,0.0174,211.82,19.09,64.52,952,8,65,71.59
15,Kolhapur,KO,Kolhapur,Pune,7685,3876001,0.0345,457.44,29.65,77.23,949,12,28,77.69
16,Latur,LA,Latur,Aurangabad,7157,2454196,0.0218,282.19,23.57,71.54,935,10,18,70.75
17,Mumbai City,MC,Mumbai,Konkan,157,3085411,0.0275,49140.9,100,86.4,777,0,45,60.06
18,Mumbai Suburban,MU,Bandra,Konkan,446,9356962,0.0833,23271,100,89.6,822,3,21,NA
19,Nagpur,NG,Nagpur,Nagpur,9892,4653570,0.0414,409.36,64.33,84.18,933,14,42,108.1
20,Nanded,ND,Nanded,Aurangabad,10528,3361292,0.0299,275.98,28.29,68.52,942,16,29,51.6
21,Nandurbar,NB,Nandurbar,Nashik,5955,1648295,0.0147,260,15.5,46.63,975,6,32,NA
22,Nashik,NS,Nashik,Nashik,15582,6107187,0.0543,321.56,38.8,74.4,927,15,63,70.12
23,Osmanabad,OS,Osmanabad,Aurangabad,7569,1657576,0.0148,197.89,17,78.4,924,8,62,NA
24,Palghar,PL,Palghar,Konkan,5344,2990116,0.0266,562,50,80,900,8,48,NA
25,Parbhani,PA,Parbhani,Aurangabad,6251,1836086,0.0163,244.4,31.8,55.15,958,9,51,57.57
26,Pune,PU,Pune,Pune,15643,9429408,0.0839,461.85,58.1,80.78,919,14,11,62.33158854
27,Raigad,RG,Alibag,Konkan,7152,2634200,0.0234,308.89,24.2,77,976,15,67,NA
28,Ratnagiri,RT,Ratnagiri,Konkan,8208,1615069,0.0144,206.72,11.3,65.13,1136,9,68,NA
29,Sangli,SN,Sangli,Pune,8578,2822143,0.0251,301.18,24.5,82.62,957,10,51,85.68
30,Satara,ST,Satara,Pune,10480,3003741,0.0267,266.77,14.2,78.52,995,11,57,NA
31,Sindhudurg,SI,Oros,Konkan,5207,849651,0.0076,166.86,9.5,80.3,1079,8,43,NA
32,Solapur,SO,Solapur,Pune,14895,4317756,0.0384,259.32,31.8,71.2,935,11,34,46.18
33,Thane,TH,Thane,Konkan,4214,8070032,0.0718,850.71,72.58,80.67,858,7,39,100.42
34,Wardha,WR,Wardha,Nagpur,6310,1300774,0.0116,195.03,25.17,80.5,936,8,43,NA
35,Washim,WS,Washim,Amravati,5150,1197160,0.0107,275.98,17.49,74.02,939,6,62,NA
36,Yavatmal,YTL,Yavatmal,Amravati,13582,2772348,0.0247,152.93,18.6,57.96,951,16,56,NA
